rang,left_lat,left_lon,right_lat,right_lon
1,43.547780831266614,3.84009068244799,43.54685401720265,3.8426145033148686
2,43.54780282329164,3.84011235544814,43.5468728678001,3.84263184171498
3,43.54782638616677,3.840123191948208,43.54689328927409,3.8426513474151074
4,43.547840523887345,3.840144864948354,43.5469089980955,3.8426643512152054
5,43.54786722846173,3.840155701448431,43.54692470691287,3.8426925261153855
6,43.547886078742394,3.840168705248509,43.54693884484502,3.8427272029156216
7,43.54790492901712,3.840181709048596,43.54695926629662,3.8427423740157263
8,43.54792220843044,3.840194712848685,43.54697811686124,3.842757545115819
9,43.54793948783887,3.8402207204488614,43.54699539654026,3.8427770508159607
10,43.54796147980605,3.840242393449003,43.54701424709358,3.8427965565160895
11,43.54797875920314,3.8402553972490985,43.54702524324691,3.8428290660163
12,43.547999180302455,3.8402662337491686,43.54704252291241,3.8428594082165097
13,43.54801803054187,3.8402857394492975,43.54705823169495,3.8428767466166143
14,43.54803845162788,3.840300910549397,43.54707236959583,3.842913590716866
15,43.548055731002975,3.8403204162495297,43.54709279100216,3.84292659451695
16,43.54807301037305,3.840342089249671,43.54710692889483,3.842954769417143
17,43.54809186058933,3.8403529257497464,43.5471175390939,3.842980515035995
18,43.54811071079975,3.84036592954983,43.54713807392335,3.842995968531548
19,43.54813270270444,3.8403876025499826,43.54715487514237,3.843021724357461
20,43.5481531237516,3.840402773650075,43.54717354315793,3.843044904600792
21,43.54817197394291,3.840413610150154,43.547192211167754,3.8430655092615313
22,43.548186111582375,3.840430948550265,43.547205278771145,3.8430912650874496
23,43.54820810345961,3.8404461196503705,43.54722394677113,3.843109294165592
24,43.54822852448119,3.840465625350505,43.54723701436769,3.843135049991505
25,43.54824637461864,3.8404856557235982,43.54725647798147,3.8431626142052018
26,43.54826535011433,3.840500927695383,43.54727703510573,3.8431800678872303
27,43.54828748818491,3.840518381377416,43.54729442959001,3.843201884989769
28,43.54830171979742,3.840540198479951,43.547310242753085,3.843219338671798
29,43.548322276565194,3.840557652161987,43.54732921854337,3.84324115577434
30,43.548339670747815,3.8405794692645223,43.547345031697425,3.8432673362973864
31,43.54836022750257,3.840596922946558,43.547359263532506,3.8432935168204385
32,43.548377621674256,3.8406121949183274,43.547376657993006,3.843315333922978
33,43.54839975970366,3.8406274668901057,43.5473940524485,3.843332787605001
34,43.54841557257683,3.840640557151635,43.54741302821238,3.8433567864177993
35,43.54843771059225,3.840658010833661,43.54742726003143,3.843389512071605
36,43.54845510474158,3.840668919384936,43.547443073159705,3.8434135108844
37,43.54847724274252,3.840686373066968,43.54746046759598,3.843439691407444
38,43.54849621816544,3.840699463328495,43.54747469940379,3.843463690220248
39,43.548512031013274,3.8407190987207738,43.54749525645359,3.8434767804817658
40,43.54852626257275,3.840745279243828,43.54751265087488,3.8435029610048166
41,43.54854840054755,3.840751824374584,43.547528463980754,3.843531323238121
42,43.54856737594815,3.8407670963463665,43.54754269577249,3.843548776920149
43,43.54859267647281,3.840782368318142,43.54756167148968,3.843570594022688
44,43.54861323314139,3.840795458579662,43.5475774845827,3.843594592835486
45,43.548630627239994,3.840815093971953,43.54759329767149,3.843614228227766
46,43.54865434645732,3.840823820812962,43.54761385468093,3.843631681909796
47,43.54866857798319,3.8408390927847416,43.54762808645251,3.8436622258533504
48,43.54868439078583,3.84086527330779,43.547645480835385,3.8436818612456314
49,43.54870336614351,3.8408914538308383,43.54765813129262,3.843710223478946
50,43.54871601637875,3.84091763435388,43.54767394436028,3.8437385857122432
51,43.54873024789008,3.8409438148769297,43.54769450134216,3.8437604028147847
52,43.54873815428385,3.840998357633282,43.547708733094694,3.843788765048087
53,43.54874922323333,3.841041991838363,43.547726127454375,3.843808400440371
54,43.54875712962457,3.841085626043435,43.54774352180899,3.8438302175429073
55,43.54876661729269,3.841122715117749,43.54775459094118,3.843858579776206
56,43.54877926751462,3.841153259061313,43.54777514789548,3.8438782151684943
57,43.548790336456506,3.8411859847151177,43.547792542236024,3.843893487140269
58,43.54880298667348,3.8412274372099406,43.54781309917737,3.843913122532561
59,43.54881682284509,3.841260162863756,43.54782535427375,3.8439502116068742
60,43.54882947305645,3.841299433648324,43.547841167297555,3.8439676652889054
61,43.54883896071325,3.841334341012389,43.547855399015546,3.8439982092324616
62,43.54885319219555,3.841369248376454,43.547872793332814,3.844017844624751
63,43.54886742367452,3.8413888837687433,43.54789176894604,3.844039661727283
64,43.54887849260031,3.8414303362635622,43.54791232585362,3.844054933699062
65,43.54888165515013,3.841493605860929,43.54792813885468,3.8440811142221105
66,43.5488990491713,3.841513241253218,43.5479407892525,3.84410074961439
67,43.54889114279864,3.841607054794134,43.54796134614331,3.84412038500668
68,43.54888639897461,3.841683414653027,43.54798032172866,3.8441465655297304
69,43.548880073875225,3.841766319642665,43.547996134711795,3.844168382632265
70,43.54887374877523,3.8418514063425806,43.54801352898854,3.844188018024554
71,43.548872167500065,3.8419277662014593,43.54803092326021,3.844212016837345
72,43.548869004949786,3.8420106711911193,43.54804989882367,3.8442272888091256
73,43.54886109857315,3.842097939601273,43.54806571178865,3.8442512876219226
74,43.54885951729775,3.842167754329396,43.54808152474945,3.844277468144965
75,43.54885477347111,3.8422506593190464,43.54809733770606,3.844299285247504
76,43.54885161091989,3.842318292336924,43.548113150658594,3.8443211023500465
77,43.548850029644186,3.8423990156163144,43.548130544901525,3.844345101162843
78,43.548834216885034,3.8425102828392705,43.54814477655115,3.8443734633961393
79,43.54883896071325,3.842571370726379,43.54816533337241,3.844388735367924
80,43.54885002964422,3.8426040963801817,43.54818272760026,3.844414915890971
81,43.54885793602219,3.8426499122955193,43.54820170311597,3.844438914703754
82,43.548873353456464,3.84268263794933,43.54821079554842,3.8444650952268127
83,43.54887809728155,3.842739362415932,43.54822977105513,3.844491275749859
84,43.548871772181315,3.842817903985072,43.54824716526448,3.844510911142135
85,43.548884422381064,3.842846266218378,43.54826455946873,3.8445261831139175
86,43.54890181640151,3.842865901610657,43.54828037237734,3.8445480002164554
87,43.54892869805951,3.8428789918721895,43.54829934786225,3.844571999029245
88,43.548933441880266,3.842920444367015,43.5483167420515,3.844598179552298
89,43.54894767334025,3.842957533441328,43.54838473747033,3.8444716403575687
90,43.54896664861506,3.843092799477067,43.54838473747028,3.8446745394111823
91,43.548990367700185,3.8431080714488495,43.54840529420969,3.8446985382239784
92,43.548996692787945,3.843160432494946,43.5484195257945,3.844720355326513
93,43.54900776168999,3.8431953398590104,43.548440082522006,3.844735627298301
94,43.549026736945855,3.8432171569615527,43.548455895384585,3.844755262690586
95,43.549034643300715,3.843256427746117,43.548473289528616,3.8447836249238794
96,43.54904254965457,3.8433044253717026,43.54849226495282,3.844805442026427
97,43.54905678108883,3.843339332735767,43.54850649651704,3.844829440839217
98,43.54907891886879,3.8434178743049094,43.54854128477084,3.844870893334034
99,43.54906626870974,3.84338078523059,43.548523890646415,3.84484689452124
100,43.54909156902506,3.843444054827962,43.548561841456866,3.844883983595567
101,43.54910105664058,3.843489870743287,43.54857765428751,3.844907982408352
102,43.54911212552344,3.843516051266338,43.54859504839649,3.8449254360903953
103,43.549123194404274,3.843559685471418,43.54860927993635,3.8449559800339457
104,43.54913584455127,3.843594592835476,43.548628255317745,3.844973433715974
105,43.54914375089184,3.843646953881573,43.54864406813092,3.844995250818509
106,43.54916272610497,3.843666589273856,43.54866146222067,3.84501270450055
107,43.549169051174594,3.843718950319953,43.5486804375856,3.845038885023597
108,43.54918170131199,3.8437494942635126,43.54869941294457,3.845054156995374
109,43.54919435144673,3.8437909467583298,43.54871364445978,3.845071610677403
110,43.549202257779605,3.843828035832653,43.548734201087065,3.845093427779944
111,43.549207001578864,3.843878215168498,43.54875159515083,3.845117426592738
112,43.54922123297432,3.843910940822307,43.54876424537582,3.845139243695279
113,43.549235464366355,3.843945848186358,43.54878796454061,3.8451523339568014
114,43.54924653322455,3.8439742104196735,43.54880852114248,3.845167605928582
115,43.54925918334568,3.844013481204233,43.54882749646116,3.8451894230311185
116,43.54927499599339,3.844102931324653,43.54885754070338,3.8452374206567055
117,43.54926550840533,3.8440680239605913,43.548844890497946,3.845209058423409
118,43.54928290231564,3.844155292370744,43.54887809728152,3.845252692628476
119,43.549303458748746,3.844172746052781,43.54889707257828,3.8452679646002608
120,43.54931452759449,3.8442141985476024,43.54891921041687,3.845285418282288
121,43.5493208526482,3.844260014462929,43.54893818570063,3.845300690254074
122,43.54933192149076,3.8442905584064873,43.54895083588647,3.8453137805155944
123,43.549339827805625,3.844332010901317,43.54896822988774,3.8453399610386385
124,43.549352082591504,3.8443756451063993,43.54898522856586,3.845359596430927
125,43.549364732690506,3.844397462208936,43.5490042038288,3.8453814135334703
126,43.549374220263005,3.844441096414013,43.549020016543395,3.845407594056515
127,43.54938528909572,3.844482548908844,43.549042154336874,3.84541850260778
128,43.54939635792637,3.844521819693414,43.5490579670415,3.845449046551333
129,43.549412170538005,3.844550181926708,43.54907377974196,3.845462136812862
130,43.549418495581556,3.84459599784204,43.54909275497711,3.8454839539154015
131,43.54943430818751,3.844628723495848,43.549116474012585,3.8454904990461625
132,43.54941177522283,3.844783624923887,43.54913031011225,3.8455123161486946
133,43.54942442530927,3.844796715185407,43.549146122793815,3.8455363149614934
134,43.54944181917381,3.844809805446936,43.54916826054095,3.8455494052230166
