rang,left_lat,left_lon,right_lat,right_lon
1,43.53210641644153,3.866955356203396,43.53068302328966,3.8700724174272527
2,43.532125969991355,3.8669669151367976,43.530700992657565,3.870089921490788
3,43.532145523534766,3.866988106514723,43.53071753843933,3.870111233319205
4,43.53216228370984,3.867001591937036,43.53073830892129,3.8701268651733742
5,43.53218183724152,3.867020856826051,43.53075765581639,3.8701463047945768
6,43.532197200726266,3.867036268737261,43.53077703340863,3.870161915574607
7,43.53221954760617,3.867050717404033,43.53079498741292,3.870181334122496
8,43.532239101119224,3.8670642028263393,43.53081438035136,3.870195030496126
9,43.53225795628659,3.867085394204256,43.5308337886393,3.870206812449991
10,43.532276811448085,3.8671036958488334,43.53085175798741,3.870224316601497
11,43.53229636494262,3.867120071004486,43.53087110486672,3.870243756293894
12,43.532313823414555,3.867135482915701,43.53089051315015,3.870255538275851
13,43.53233267855855,3.8671499315824622,43.53090845178689,3.8702768713228384
14,43.53235223203504,3.8671672699825903,43.53093206942784,3.870284887761706
15,43.53237178550504,3.867187498116052,43.530947237641406,3.870304264197933
16,43.53238854561732,3.867199057049459,43.530968008098824,3.8703198961843994
17,43.532408797413325,3.867219285182939,43.53098455383859,3.870341208178101
18,43.53242416084017,3.867234697094146,43.53100673253022,3.8703549468558704
19,43.5324451109615,3.8672539619831583,43.53102330897132,3.870372430003477
20,43.5324646644015,3.867269373894384,43.53104127829515,3.870389934264528
21,43.53248282116149,3.867285749050047,43.53106624275232,3.8704037151820736
22,43.53250167625265,3.8673098301613145,43.53108425813563,3.870415476154096
23,43.5325212296743,3.8673204258502785,43.53110363569366,3.8704310871136607
24,43.532542179761954,3.867338727494839,43.5311229978945,3.8704486125223423
25,43.53255963816267,3.86735413940606,43.53114243686998,3.870456565746715
26,43.53257849322981,3.8673724410506183,43.531163207308346,3.870472197841344
27,43.5325980466266,3.8673854448507137,43.531182600215224,3.870485894400945
28,43.53261690168169,3.8674037464952753,43.53120477889159,3.8704996331819297
29,43.53263505839587,3.867420121650941,43.53122697292297,3.8705114575315034
30,43.532653913439475,3.867437460051064,43.53132147859517,3.8703654593819583
31,43.53267137180788,3.8674528719622696,43.53141603013058,3.870213717406854
32,43.532690925174535,3.867470210362382,43.53150487177976,3.8700791206126697
33,43.53270978020059,3.86748658551805,43.53160217800715,3.869931248776006
34,43.53272933355484,3.8675068136515223,43.53171238824882,3.8697376192368895
35,43.532748886902645,3.8675222255627304,43.53178564678735,3.86963533491719
36,43.53276774191059,3.867539563962855,43.53190565273248,3.8694361083620383
37,43.53278729524598,3.867555939118523,43.531967576208025,3.869357585526832
38,43.53280475357584,3.8675732775186353,43.53205294994717,3.8692210189580343
39,43.53282500523206,3.867588689429843,43.53214181340199,3.869083547427157
40,43.53284246355093,3.867607954318857,43.53225126441886,3.8688975618157095
41,43.53286201686209,3.867625292718981,43.53233299445985,3.8687810432612793
42,43.53288017350253,3.867640704630192,43.53250865961827,3.868467168369048
43,43.532899726801475,3.867659969519209,43.53264693009068,3.868216724811827
