fid,rang,left_lat,left_lon,right_lat,right_lon
1,1,43.5316856302165,3.86785754483512,43.5306830232897,3.87007241742725
2,2,43.5317051212325,3.86787183824685,43.5307009926576,3.87008992149079
3,3,43.5317316042637,3.86788594602985,43.5307175384393,3.8701112333192
4,4,43.5317493008687,3.86789912566924,43.5307383089213,3.87012686517337
5,5,43.5317659461964,3.86791338334744,43.5307576558164,3.87014630479458
6,6,43.5317860024518,3.86793200701322,43.5307770334086,3.87016191557461
7,7,43.5318029786395,3.86795220652764,43.5307949874129,3.8701813341225
8,8,43.531827046146,3.86796724871924,43.5308143803514,3.87019503049613
9,9,43.5318450967759,3.86798379512999,43.5308337886393,3.87020681244999
10,10,43.531862921773,3.86800259786948,43.5308517579874,3.8702243166015
11,11,43.5318787160742,3.86802155103088,43.5308711048667,3.87024375629389
12,12,43.5318986168936,3.86803647664549,43.5308905131501,3.87025553827585
13,13,43.5319186047792,3.86805143957414,43.5309084517869,3.87027687132284
14,14,43.5319368886571,3.86806423828866,43.5309320694278,3.87028488776171
15,15,43.5319570009228,3.86807886539098,43.5309472376414,3.87030426419793
16,16,43.5319789415762,3.86809714926887,43.5309680080988,3.8703198961844
17,17,43.5319953970664,3.86811177637119,43.5309845538386,3.8703412081781
18,18,43.5320173377198,3.86812823186129,43.5310067325302,3.87035494685587
19,19,43.5320356215977,3.8681446873514,43.5310233089713,3.87037243000348
20,20,43.5320539054756,3.86816479961708,43.5310412782951,3.87038993426453
21,21,43.5320721893535,3.86818308349498,43.5310662427523,3.87040371518207
22,22,43.5320904732314,3.86819771059729,43.5310842581356,3.8704154761541
23,23,43.5321105854971,3.86821599447519,43.5311036356937,3.87043108711366
24,24,43.532128869375,3.86822879318971,43.5311229978945,3.87044861252234
25,25,43.5321471532529,3.8682489054554,43.53114243687,3.87045656574672
26,26,43.5321672655186,3.8682653609455,43.5311632073083,3.87047219784134
27,27,43.5321855493965,3.86827998804782,43.5311826002152,3.87048589440094
28,28,43.5322056616621,3.8683001003135,43.5312047788916,3.87049963318193
29,29,43.5322221171522,3.8683165558036,43.531226972923,3.8705114575315
30,30,43.5322422294179,3.86833301129371,43.5313214785952,3.87036545938196
31,31,43.5322641700714,3.86834398162045,43.5314160301306,3.87021371740685
32,32,43.5322787971737,3.86836409388613,43.5315048717798,3.87007912061267
33,33,43.5322961668577,3.86838420615181,43.5316021780071,3.86993124877601
34,34,43.5323181075112,3.86840249002971,43.5317123882488,3.86973761923689
35,35,43.5323382197769,3.8684207739076,43.5317856467873,3.86963533491719
36,36,43.5323565036548,3.86843357262213,43.5319056527325,3.86943610836204
37,37,43.5323766159204,3.86845185650002,43.531967576208,3.86935758552683
38,38,43.5323912430228,3.86846831199013,43.5320529499472,3.86922101895803
39,39,43.5324113552885,3.86848293909244,43.532141813402,3.86908354742716
40,40,43.5324296391663,3.86849939458255,43.5322512644189,3.86889756181571
41,41,43.532449751432,3.86851402168486,43.5323329944598,3.86878104326128
